puesto_id,familia,puesto,alias_busqueda,tipo_perfil,nivel_evaluado,preparacion_estimada_pct,lectura,incorporacion,fundamentos_0a4,tareas_0a4,herramientas_0a4,practica_operativa_0a4,colaboracion_0a4,puntaje_sin_tope_pct,tope_experiencia_pct,materias_ids,materias,aporte_curricular,brechas_prioritarias,por_que_porcentaje,evidencia_practica_a_validar,fuentes_ids,fuentes_web,paginas_programa,certeza,aporte_optativo,mercado,fecha_corte,fuentes_anuncios_ids,base_laboral,materias_transversales_ids,practica_profesionalizante,evaluacion
R062,Calidad y testing,Tester de software trainee,Software Tester Trainee; QA Trainee,Nivel de entrada,Trainee,85,Cercanía alta a entrada supervisada,Postulación inicial razonable si supera prueba práctica; requiere inducción y tutoría,4,4,3,2,3,85.0,100,DSO240;DSO080;DSO180;DSO010;DSO250,Metodología y Testing; Fundamentos de Análisis de Sistemas; Taller de Tecnología Aplicada; Comprensión y Producción de Textos; Programación Orientada a Objetos,"Diseño de pruebas, defectos, requisitos y trabajo integrado cubren tareas de aprendizaje supervisado","Producto, herramienta de seguimiento y ejecución disciplinada en equipo real","Diseño de pruebas, defectos, requisitos y trabajo integrado cubren tareas de aprendizaje supervisado. La valoración de tareas es 4/4 y la de herramientas 3/4 porque resta: Producto, herramienta de seguimiento y ejecución disciplinada en equipo real. Preparación operativa: 2/4; la práctica específica no está acreditada para este perfil.","Diseñar casos, ejecutar pruebas y entregar defectos reproducibles",P2;QA;ISTQB,https://www.onetonline.org/link/summary/15-1253.00 ; https://www.istqb.org/certifications/certified-tester-foundation-level-ctfl-v4-0/,DSO240: 44-45; DSO080: 33-34; DSO180: 29; DSO010: 23-25; DSO250: 46,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R001,Desarrollo de software,Desarrollador de software trainee,Software Developer Trainee; Graduate Developer,Nivel de entrada,Trainee,85,Cercanía alta a entrada supervisada,Postulación inicial razonable si supera prueba práctica; requiere inducción y tutoría,4,4,3,2,3,85.0,100,DSO130;DSO250;DSO200;DSO240;DSO180;DSO260,Programación Estructurada; Programación Orientada a Objetos; Diseño de Software; Metodología y Testing; Taller de Tecnología Aplicada; Computación en la Nube,"Integra algoritmos Java, objetos, pruebas y proyecto de software con control de versiones","Resolver una prueba real, comprender repositorio y herramientas del empleador, actualizar dependencias","Integra algoritmos Java, objetos, pruebas y proyecto de software con control de versiones. La valoración de tareas es 4/4 y la de herramientas 3/4 porque resta: Resolver una prueba real, comprender repositorio y herramientas del empleador, actualizar dependencias. Preparación operativa: 2/4; la práctica específica no está acreditada para este perfil.","Implementar una funcionalidad pequeña con pruebas, revisión y documentación",P2;DEV;J_JAVA;J_DEV,https://www.onetonline.org/link/summary/15-1252.00 ; https://jobs.smartrecruiters.com/Tipico/744000136171599--junior-java-developer-m-f-x- ; https://jobs.lever.co/steerbridge/718b3135-d15d-4cbc-9541-1cbb8a6f5ec5,DSO130: 45-46; DSO250: 46; DSO200: 35-36; DSO240: 44-45; DSO180: 29; DSO260: 47-48,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,J_JAVA;J_DEV,Marco y anuncio de empleador,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R065,Calidad y testing,Automatizador de pruebas Java/JUnit,Junior Test Automation Developer; Java QA Automation,Especialización,Inicial,75,Cercanía alta a entrada supervisada,Postulación inicial razonable si supera prueba práctica; requiere inducción y tutoría,4,3,3,2,3,76.25,100,DSO240;DSO250;DSO120;DSO290,Metodología y Testing; Programación Orientada a Objetos; Base de Datos Relacionales; Programación Web,"Java, JUnit, TDD y regresión coinciden con la base de automatización","Framework de integración/API, datos de prueba, CI y análisis de fallos intermitentes","Java, JUnit, TDD y regresión coinciden con la base de automatización. La valoración de tareas es 3/4 y la de herramientas 3/4 porque resta: Framework de integración/API, datos de prueba, CI y análisis de fallos intermitentes. Preparación operativa: 2/4; la práctica específica no está acreditada para este perfil.",Suite JUnit mantenible que pruebe reglas y acceso a datos,P2;QA;J_AUTO,https://www.onetonline.org/link/summary/15-1253.00 ; https://jobs.smartrecruiters.com/Inetum2/744000142569136-qa-automation-engineer-junior-java-developer?trid=7d1dcdfa-96a8-4e55-bb9c-0db211f5a9b3,DSO240: 44-45; DSO250: 46; DSO120: 38-40; DSO290: 46-47,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,J_AUTO,Marco y anuncio de empleador,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R063,Calidad y testing,Tester manual funcional,Manual QA Tester; Functional Tester,Ocupación,Inicial,75,Cercanía alta a entrada supervisada,Postulación inicial razonable si supera prueba práctica; requiere inducción y tutoría,3,4,2,2,3,75.0,100,DSO240;DSO080;DSO290;DSO120;DSO010,Metodología y Testing; Fundamentos de Análisis de Sistemas; Programación Web; Base de Datos Relacionales; Comprensión y Producción de Textos,"Pruebas funcionales, regresión, datos y documentación tienen cobertura directa","Herramientas del equipo, exploración sistemática y conocimiento del producto","Pruebas funcionales, regresión, datos y documentación tienen cobertura directa. La valoración de tareas es 4/4 y la de herramientas 2/4 porque resta: Herramientas del equipo, exploración sistemática y conocimiento del producto. Preparación operativa: 2/4; la práctica específica no está acreditada para este perfil.","Plan de pruebas con evidencias, priorización y reproducción de fallos",P2;QA;ISTQB;J_QA,https://www.onetonline.org/link/summary/15-1253.00 ; https://www.istqb.org/certifications/certified-tester-foundation-level-ctfl-v4-0/ ; https://jobs.smartrecruiters.com/Playtech/744000108231845-junior-qa-engineer-,DSO240: 44-45; DSO080: 33-34; DSO290: 46-47; DSO120: 38-40; DSO010: 23-25,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,J_QA,Marco y anuncio de empleador,DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R005,Desarrollo de software,Desarrollador backend Java/Spring,Junior Java Developer; Spring Developer,Especialización,Inicial,75,Cercanía alta a entrada supervisada,Postulación inicial razonable si supera prueba práctica; requiere inducción y tutoría,4,3,3,2,3,76.25,100,DSO250;DSO290;DSO120;DSO240;DSO260,Programación Orientada a Objetos; Programación Web; Base de Datos Relacionales; Metodología y Testing; Computación en la Nube,"Java, Spring, MVC y persistencia están expresamente presentes","Spring Boot actual, configuración, pruebas de integración y operación del servicio","Java, Spring, MVC y persistencia están expresamente presentes. La valoración de tareas es 3/4 y la de herramientas 3/4 porque resta: Spring Boot actual, configuración, pruebas de integración y operación del servicio. Preparación operativa: 2/4; la práctica específica no está acreditada para este perfil.","Servicio Spring con persistencia, pruebas y despliegue reproducible",P2;DEV;J_JAVA;J_JAVA2,https://www.onetonline.org/link/summary/15-1252.00 ; https://jobs.smartrecruiters.com/Tipico/744000136171599--junior-java-developer-m-f-x- ; https://jobs.smartrecruiters.com/SigmaSoftware2/744000108185057-strong-junior-java-developer-,DSO250: 46; DSO290: 46-47; DSO120: 38-40; DSO240: 44-45; DSO260: 47-48,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,J_JAVA;J_JAVA2,Marco y anuncio de empleador,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R003,Desarrollo de software,Desarrollador de mantenimiento de aplicaciones Java,Application Maintenance Developer; Java Maintenance Developer,Especialización,Inicial,75,Cercanía alta a entrada supervisada,Postulación inicial razonable si supera prueba práctica; requiere inducción y tutoría,4,3,3,2,3,76.25,100,DSO250;DSO240;DSO120;DSO200;DSO130,Programación Orientada a Objetos; Metodología y Testing; Base de Datos Relacionales; Diseño de Software; Programación Estructurada,"Java, JDBC/Hibernate, capas y regresión permiten intervenir aplicaciones existentes","Comprensión de legado real, dependencias y procesos de liberación del cliente","Java, JDBC/Hibernate, capas y regresión permiten intervenir aplicaciones existentes. La valoración de tareas es 3/4 y la de herramientas 3/4 porque resta: Comprensión de legado real, dependencias y procesos de liberación del cliente. Preparación operativa: 2/4; la práctica específica no está acreditada para este perfil.","Reproducir un bug, corregirlo sin romper contratos y añadir regresión",P2;DEV;J_JAVA,https://www.onetonline.org/link/summary/15-1252.00 ; https://jobs.smartrecruiters.com/Tipico/744000136171599--junior-java-developer-m-f-x-,DSO250: 46; DSO240: 44-45; DSO120: 38-40; DSO200: 35-36; DSO130: 45-46,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,J_JAVA,Marco y anuncio de empleador,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R078,Bases de datos y gestión de datos,Desarrollador SQL,Junior SQL Developer; Database Developer,Ocupación,Inicial,70,Base sólida; cerrar brechas concretas,Postulación selectiva a trainee/junior; completar brechas del aviso,3,3,3,2,3,71.25,100,DSO120;DSO110;DSO230;DSO240,Base de Datos Relacionales; Modelo de Datos; Base de Datos Avanzadas; Metodología y Testing,"Consultas, procedimientos, transacciones, índices y modelado tienen cobertura directa","Consultas complejas, planes de ejecución, migraciones y convenciones del motor","Consultas, procedimientos, transacciones, índices y modelado tienen cobertura directa. La valoración de tareas es 3/4 y la de herramientas 3/4 porque resta: Consultas complejas, planes de ejecución, migraciones y convenciones del motor. Preparación operativa: 2/4; la práctica específica no está acreditada para este perfil.",Esquema normalizado con consultas probadas y optimización medida,P2;DBA;DEV,https://www.onetonline.org/link/summary/15-1242.00 ; https://www.onetonline.org/link/summary/15-1252.00,DSO120: 38-40; DSO110: 38; DSO230: 43-44; DSO240: 44-45,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R020,Desarrollo de software,Desarrollador de escritorio Java,Java Desktop Developer; Swing Developer,Especialización,Inicial,70,Base sólida; cerrar brechas concretas,Postulación selectiva a trainee/junior; completar brechas del aviso,3,3,3,2,3,71.25,100,DSO250;DSO120;DSO200;DSO240,Programación Orientada a Objetos; Base de Datos Relacionales; Diseño de Software; Metodología y Testing,"Swing/AWT, eventos, JDBC y diseño de interfaces están en el programa","Empaquetado, actualización, accesibilidad y mantenimiento multiplataforma","Swing/AWT, eventos, JDBC y diseño de interfaces están en el programa. La valoración de tareas es 3/4 y la de herramientas 3/4 porque resta: Empaquetado, actualización, accesibilidad y mantenimiento multiplataforma. Preparación operativa: 2/4; la práctica específica no está acreditada para este perfil.",Aplicación de escritorio con persistencia y pruebas de lógica separada de UI,P2;DEV,https://www.onetonline.org/link/summary/15-1252.00,DSO250: 46; DSO120: 38-40; DSO200: 35-36; DSO240: 44-45,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,,Marco ocupacional/técnico; sin anuncio específico asociado,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R002,Desarrollo de software,Desarrollador de software junior generalista,Junior Software Developer; Junior Software Engineer,Ocupación,Inicial,70,Base sólida; cerrar brechas concretas,Postulación selectiva a trainee/junior; completar brechas del aviso,4,3,2,2,3,71.25,100,DSO130;DSO250;DSO200;DSO240;DSO080;DSO180,Programación Estructurada; Programación Orientada a Objetos; Diseño de Software; Metodología y Testing; Fundamentos de Análisis de Sistemas; Taller de Tecnología Aplicada,"Cubre construcción, análisis, depuración, patrones y trabajo de equipo","Stack concreto, lectura de código ajeno, despliegue y diagnóstico operativo","Cubre construcción, análisis, depuración, patrones y trabajo de equipo. La valoración de tareas es 3/4 y la de herramientas 2/4 porque resta: Stack concreto, lectura de código ajeno, despliegue y diagnóstico operativo. Preparación operativa: 2/4; la práctica específica no está acreditada para este perfil.",Corregir un defecto y entregar una mejora revisable en una aplicación existente,P2;DEV;J_JAVA,https://www.onetonline.org/link/summary/15-1252.00 ; https://jobs.smartrecruiters.com/Tipico/744000136171599--junior-java-developer-m-f-x-,DSO130: 45-46; DSO250: 46; DSO200: 35-36; DSO240: 44-45; DSO080: 33-34; DSO180: 29,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,J_JAVA,Marco y anuncio de empleador,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
R040,Desarrollo móvil,Desarrollador Android SDK/Java,Junior Android Developer; Android Java Developer,Especialización,Inicial,70,Base sólida; cerrar brechas concretas,Postulación selectiva a trainee/junior; completar brechas del aviso,3,3,3,2,3,71.25,100,DSO300;DSO250;DSO200;DSO240;DSO260,Programación de Aplicaciones para Celulares; Programación Orientada a Objetos; Diseño de Software; Metodología y Testing; Computación en la Nube,"SDK Android, actividades, persistencia, eventos y pruebas están desarrollados","APIs vigentes, permisos, arquitectura actual y sustitución de componentes obsoletos","SDK Android, actividades, persistencia, eventos y pruebas están desarrollados. La valoración de tareas es 3/4 y la de herramientas 3/4 porque resta: APIs vigentes, permisos, arquitectura actual y sustitución de componentes obsoletos. Preparación operativa: 2/4; la práctica específica no está acreditada para este perfil.","Aplicación Android con persistencia, pruebas y manejo del ciclo de vida",P2;ANDROID;ASYNC;J_ANDROID,https://developer.android.com/courses/android-basics-compose/course?authuser=0 ; https://developer.android.com/reference/android/os/AsyncTask ; https://ibuqa.io/wp-content/uploads/2024/09/Junior-Android-Developer-JD-2.pdf,DSO300: 47; DSO250: 46; DSO200: 35-36; DSO240: 44-45; DSO260: 47-48,"Media: programa explícito, desempeño individual no medido",No estimado: faltan programas de optativa/electivo,Internacional general; elegibilidad e idioma se verifican por oferta,2026-09-13,J_ANDROID,Marco y anuncio de empleador,DSO010;DSO020;DSO030;DSO160;DSO170;DSO270,"200 h curriculares, dominio y desempeño no documentados; aporte específico condicionado",Inferencia analítica del programa; no medición de habilidad individual ni probabilidad de empleo
